word,type,inflections,freq,french,sentence
every,function word,every,3463,chaque,Every student completed the assignment on time.
everything,function word,everything,3375,tout,Everything must be done according to the plan.
money,noun,money,3352,Argent,He spent all his money on a new car.
person,noun,"person, people, persons",3351,personne,That kind person always offered a helping hand.
watch,verb,"watch, watched, watches, watching",3351,Regarder,I like to watch the sunset with my family.
other,adjective,other,3345,autre,The other children were eager to join the game.
remember,verb,"remember, remembered, remembering, remembers",3344,se souvenir,Please remember to bring an umbrella.
house,noun,"house, houses",3327,maison,The children ran excitedly towards their new house.
wrong,adjective,wrong,3294,faux,The painting was a wrong interpretation of the original masterpiece.
kill,verb,"kill, killed, killing, kills",3278,tuer,The reckless driver nearly killed a pedestrian.
school,noun,"school, schools",3243,École,The children eagerly anticipated their first day at school.
everyone,function word,everyone,3242,tout le monde,Everyone is invited to the party.
run,verb,"run, ran, running, runs",3229,courir,I like to run in the park every morning.
late,adjective,"late, later, latest",3221,Tardif,He arrived late to the meeting.
care,verb,"care, cared, cares, caring",3199,s'occuper,Please care for your elderly neighbor today.
car,noun,"car, cars",3191,voiture,I drove my car to the beach.
move,verb,"move, moved, moves, moving",3187,déplacer,Please move the box to the corner.
ah,interjection,"ah, aah",3158,Ouh,"“Oh, ah, I completely missed that!”"
idea,noun,"idea, ideas",3136,Idée,She presented a brilliant idea for the marketing campaign.
another,function word,another,3083,autre,I need another chance to finish the test.
someone,function word,someone,3080,quelqu'un,Someone called to ask for directions.
today,adverb,today,3055,aujourd'hui,"Today, I will finally finish that project."
turn,verb,"turn, turned, turning, turns",3042,tourner,Please turn left at the next intersection.
real,adjective,real,3008,réel,The artist sought to capture a real sense of emotion in his paintings.
happy,adjective,"happy, happier, happiest",2995,heureux,She felt incredibly happy after receiving the good news.
whole,adjective,whole,2956,entier,The whole team celebrated their victory with joyous enthusiasm.
week,noun,"week, weeks",2954,semaine,This week’s meeting will determine the project’s future.
job,noun,"job, jobs",2948,emploi,Finding a stable job is a priority for many people.
fun,noun,fun,2933,Amusement,The children’s laughter filled the park with fun.
problem,noun,"problem, problems",2931,problème,Solving the complex mathematical problem required a new approach.
break,verb,"break, breaking, breaks, broke, broken",2921,Rompre,Please break the glass carefully.
world,noun,"world, worlds",2910,monde,The artist sought to capture the beauty of the whole world.
which,function word,which,2903,quelqu'un,"Which option do you prefer, considering all the possibilities?"
must,verb,must,2891,devoir,You must finish your homework before you can play.
party,noun,"party, parties",2855,fête,The surprise party was a huge success.
buy,verb,"buy, bought, buying, buys",2827,acheter,I plan to buy a new car next month.
through,function word,through,2810,à travers,The information flowed through the system quickly.
together,adverb,together,2796,ensemble,We worked together to complete the project.
room,noun,"room, rooms",2789,chambre,"The children played happily in the large, sunny room."
family,noun,"family, families",2785,famille,The family celebrated their anniversary with a special dinner.
stay,verb,"stay, stayed, staying, stays",2781,rester,Please stay right here until I return.
lose,verb,"lose, loses, losing, lost",2710,perdre,I don’t want to lose my way in the woods.
stuff,noun,stuff,2710,Choses,I packed a lot of stuff in my suitcase for the trip.
son,noun,"son, sons",2692,Fils,My son loves to spend his afternoons building elaborate Lego creations.
stupid,adjective,"stupid, stupider, stupidest",2687,Idiot,That was a stupid decision.
name,noun,"name, names",2683,nom,I don't know his name.
everybody,function word,everybody,2644,tout le monde,Everybody needs to submit their report by Friday.
last,verb,"last, lasted, lasting, lasts",2639,quitter,She last saw him at the party.
long,adverb,"long, longer, longest",2639,Longtemps,"The story unfolded long, captivating the audience with its intricate details."
tonight,adverb,tonight,2608,soir,"Tonight, we’re going to the concert."
child,noun,"child, children",2602,Enfant,The child laughed with delight as she played in the park.
sit,verb,"sit, sat, sits, sitting",2600,s'asseoir,Please sit down and relax.
course,noun,"course, courses",2585,Cours,The university offered a challenging course in advanced calculus.
pretty,adjective,"pretty, prettier, prettiest",2577,Beau/Belle,The little girl wore a pretty dress to the party.
hold,verb,"hold, held, holding, holds",2574,Tenir,Please hold the door for me.
game,noun,"game, games",2534,jeu,That complicated board game consumed the entire evening.
forget,verb,"forget, forgets, forgetting, forgot, forgotten",2519,Oublier,Please don’t forget to lock the door.
else,adverb,else,2504,sinon,"If you don’t want to go, we’ll stay home else."
own,adjective,own,2501,propre,The room was in its own pristine condition.
five,numerals,"five, fives",2493,cinq,I need five apples for the pie.
second,numerals,second,2491,deux,I checked the clock to make sure I didn’t miss my second numeral.
doctor,noun,"doctor, doctors",2486,médecin,The doctor recommended a thorough check-up.
dollar,noun,"dollar, dollars",2485,dollar,He earned a substantial dollar for his work.
enough,function word,enough,2484,assez,I have enough time to finish the project.
dog,noun,"dog, dogs",2442,chien,The dog wagged its tail excitedly as it greeted its owner.
funny,adjective,"funny, funnier, funniest",2438,drôle,The comedian’s dry wit was incredibly funny.
wear,verb,"wear, wearing, wears, wore, worn",2436,porter,I like to wear bright colors in the summer.
die,verb,"die, died, dies, dying",2426,mourir,The old dog finally succumbed to his illness and died peacefully in his sleep.
sir,noun,"sir, sirs",2425,Monsieur,Please address your questions to the sir overseeing the project.
hard,adjective,"hard, harder, hardest",2422,difficile,"The hike was incredibly hard, testing my endurance to the limit."
honey,noun,honey,2414,Miel,The children eagerly awaited the taste of the golden honey.
sound,verb,"sound, sounded, sounding, sounds",2411,Écouter,Please sound the alarm if you hear anything suspicious.
sex,noun,"sex, sexes",2388,Sexe,"His curiosity about the subject of sex was met with a firm, “Not now.”"
hate,verb,"hate, hated, hates, hating",2369,Détester,I hate the feeling of being ignored.
suppose,verb,"suppose, supposed, supposes, supposing",2368,supposer,Suppose we try a different approach to the problem.
God,proper noun,God,2362,Dieu,God’s love is a constant comfort to me.
head,noun,"head, heads",2362,tête,I have a splitting headache.
understand,verb,"understand, understanding, understands, understood",2360,comprendre,I need more time to truly understand the complexities of the situation.
whoa,interjection,whoa,2341,Ouch,"“Whoa!” she cried, startled by the sudden loud noise."
movie,noun,"movie, movies",2340,film,I spent the whole evening engrossed in a captivating movie.
worry,verb,"worry, worried, worries, worrying",2329,s'inquiéter,I don’t want to worry about missing the train.
cool,adjective,"cool, cooler, coolest",2323,cool,The band’s new album was surprisingly cool.
marry,verb,"marry, married, marries, marrying",2323,épouser,They decided to marry in a beautiful garden ceremony.
miss,verb,"miss, missed, misses, missing",2318,Manquer,I still miss my old friends terribly.
pay,verb,"pay, paid, paying, pays",2314,payer,I will pay the bills on time this month.
hour,noun,"hour, hours",2313,heure,I spent the entire hour lost in thought.
crazy,adjective,"crazy, crazier, craziest",2291,fou,The magician’s performance was absolutely crazy.
change,verb,"change, changed, changes, changing",2256,changer,He decided to change his mind about moving to the city.
hot,adjective,"hot, hotter, hottest",2256,chaud,The soup was incredibly hot.
most,function word,most,2244,plus,"He is, without a doubt, the most talented musician in the band."
excuse,verb,"excuse, excused, excuses, excusing",2232,excuser,Please excuse my interrupting you.
mother,noun,"mother, mothers",2219,mère,My mother always knew how to make me feel better.
check,verb,"check, checked, checking, checks",2217,vérifier,Please check your work before submitting it.
pick,verb,"pick, picked, picking, picks",2207,Choisir,Please pick up your toys before you leave the room.
word,noun,"word, words",2207,mot,Choosing the right word can be tricky.
same,adjective,"same, sameness",2200,même,They wore the same outfit to the party.
yourself,function word,"yourself, yourselves",2188,toi,Please be kind to yourself.
ready,adjective,"ready, readier, readiest",2177,prêt,The athlete was ready to compete.
seem,verb,"seem, seemed, seeming, seems",2165,paraître,It seemed like a good idea at the time.
win,verb,"win, winning, wins, won",2162,gagner,She hoped to win the lottery and finally be able to travel the world.
walk,verb,"walk, walked, walking, walks",2131,marcher,I like to walk in the park after dinner.
father,noun,"father, fathers",2108,père,My father always encouraged my dreams.
story,noun,"story, stories",2107,histoire,She loved listening to the captivating story of her grandmother’s youth.
already,adverb,already,2077,déjà,I’ve already finished my homework.
hope,verb,"hope, hoped, hopes, hoping",2077,espérer,I hope he calls tonight.
part,noun,"part, parts",2062,partie,The cake was cut into several delicious parts.
open,verb,"open, opened, opening, opens",2059,ouvrir,Please open the door.
lady,noun,"lady, ladies",2056,Dame,The lady smiled warmly as she greeted the guests.
read,verb,"read, reading, reads",2046,lire,I enjoy reading a good book before bed.
drink,verb,"drink, drank, drinking, drinks, drunk",2033,boire,Please drink your water before you go outside.
sleep,verb,"sleep, sleeping, sleeps, slept",2030,dormir,Please sleep until tomorrow.
number,noun,"number, numbers",2005,nombre,The survey revealed a significant number of people preferred the new design.
write,verb,"write, writes, writing, written, wrote",2001,écrire,Please write down your thoughts before sharing them with the group.
morning,noun,"morning, mornings",1985,matin,The morning air was crisp and cool.
tomorrow,noun,"tomorrow, tomorrows",1964,Demain,Tomorrow held the promise of a new adventure.
next,adjective,next,1947,prochain,The next step in the process was crucial for success.
phone,noun,"phone, phones, telephone, telephones",1945,téléphone,I need to make a call on my phone.
four,numerals,"four, fours",1943,quatre,She counted four numerals on the antique clock.
last,numerals,last,1942,dernier,The last numerals on the dashboard indicated 14:37.
once,adverb,once,1937,une fois,"Once you finish your work, you can relax."
somebody,function word,somebody,1936,quelqu'un,Somebody called to say they’d forgotten the report.
probably,adverb,probably,1916,probablement,"Probably, he’ll finish the project by tomorrow."
without,function word,without,1910,sans,I completed the task without assistance.
many,function word,many,1904,Beaucoup,There are many reasons to consider the possibilities.
such,function word,such,1901,tel,It was such a beautiful day.
eye,noun,"eye, eyes",1896,œil,Her keen eye spotted the thief hiding in the shadows.
drive,verb,"drive, driven, drives, driving, drove",1890,conduire,The reckless driver sped down the highway.
wife,noun,"wife, wives",1885,épouse,The wife smiled warmly as she watched her children play.
book,noun,"book, books",1879,livre,I lost my favorite book on the train.
hang,verb,"hang, hanged, hanging, hangs, hung",1860,suspendre,Please hang your coat up before you leave.
since,function word,since,1859,pourtant,"Since the rain stopped, we decided to go for a walk."
throw,verb,"throw, threw, throwing, thrown, throws",1839,Jeter,He threw the ball across the field.
name,verb,"name, named, naming, names",1833,appeler,Please call my name.
dead,adjective,dead,1821,mort,The dead silence in the room was unsettling.
stand,verb,"stand, standing, stands, stood",1815,se tenir,Please stand still for a moment.
myself,function word,myself,1799,moi-même,I apologized to myself for my mistake.
aw,interjection,aw,1794,Zut,"Aw, that’s awful!"
dinner,noun,"dinner, dinners",1787,dîner,We enjoyed a delicious dinner with family.
anyone,function word,anyone,1772,quelqu'un,Anyone can benefit from learning a new language.
hand,noun,"hand, hands",1767,main,He extended his hand to help her up.
each,function word,each,1739,chaque,Each student completed their own assignment.
anyway,adverb,anyway,1723,néanmoins,"Anyway, I’m going to finish the project tonight."
television,noun,"television, televisions",1716,Télévision,The flickering television dominated the living room.
learn,verb,"learn, learned, learning, learns",1715,apprendre,I need to learn how to play the guitar.
shut,verb,"shut, shuts, shutting",1709,fermer,Please shut the door quietly.
town,noun,"town, towns",1709,ville,The small town nestled in the valley offered a peaceful escape.
beautiful,adjective,beautiful,1707,beau/belle,"The sunset painted the sky with a beautiful, vibrant glow."
both,function word,both,1687,deux,"The dog wagged its tail, excited by both the treat and the attention."
date,noun,"date, dates",1682,Date,I need to schedule a dentist appointment for next week’s date.
spend,verb,"spend, spending, spends, spent",1680,détendre,I like to spend my evenings reading a good book.
office,noun,"office, offices",1673,Bureau,The manager’s office was located on the top floor of the building.
hit,verb,"hit, hits, hitting",1668,frapper,The baseball player swung the bat and hit the ball out of the park.
yet,function word,yet,1658,cependant,"Yet, she finished the project ahead of schedule."
save,verb,"save, saved, saves, saving",1656,sauver,Please save that beautiful painting from the rain.
true,adjective,"true, truer, truest",1653,Vrai,It was a true reflection of her feelings.
sweet,adjective,"sweet, sweeter, sweetest",1649,doux,The aroma of the freshly baked cookies was incredibly sweet.
until,function word,until,1642,jusqu'à,I won’t leave until you promise to be careful.
food,noun,"food, foods",1628,Nourriture,The aroma of freshly baked bread filled the entire kitchen with delicious food.
while,function word,while,1620,Pendant,"While the rain fell, we stayed inside."
send,verb,"send, sending, sends, sent",1617,Envoyer,I need to send you the report as soon as possible.
high,adjective,"high, higher, highest",1602,haut,The mountain peak reached a high altitude.
anymore,adverb,anymore,1596,plus,I don’t want to argue anymore.
also,adverb,also,1590,aussi,"I need to finish the report, also submitting the revised figures."
news,noun,news,1572,Nouvelles,The breaking news shocked the entire nation.
Christmas,proper noun,Christmas,1561,Noël,Christmas carols filled the air as families decorated their homes for the holiday.
ten,numerals,ten,1560,dix,I need ten numerals to complete the code.
ass,noun,"ass, asses",1548,Culo,The donkey’s ass stubbornly refused to move.
business,noun,"business, businesses",1542,Affaires,The successful entrepreneur built his empire through savvy business decisions.
only,adjective,only,1539,seulement,Only a select few understood the complex theory.
couple,noun,"couple, couples",1534,couple,The couple enjoyed a romantic evening stroll along the beach.
totally,adverb,totally,1532,complètement,I was totally exhausted after the hike.
door,noun,"door, doors",1528,porte,He pushed open the door to enter the room.
gay,adjective,"gay, gayer, gayest",1525,hétéro,The gay sunshine warmed the park.
exactly,adverb,exactly,1523,exactement,The clock struck exactly 3:17 PM.
parent,noun,"parent, parents",1521,"parent, père, mère",The loving parent always prioritized their child’s happiness.
few,function word,"few, fewer, fewest",1516,peu,Few people attended the meeting.
month,noun,"month, months",1514,mois,"Throughout the month, she diligently worked on her novel."
easy,adjective,"easy, easier, easiest",1508,facile,It was an easy task to complete.
deal,noun,"deal, deals",1503,Marché,The farmer offered a great deal on his produce.
ow,interjection,"ow, ouch, yow",1503,Ouch,"“Ow!” I exclaimed, clutching my injured ankle."
hurt,verb,"hurt, hurting, hurts",1495,faire mal,The fall hurt his knee badly.
nobody,function word,nobody,1495,personne,Nobody seemed to notice the spilled paint.
OK,adverb,OK,1480,D'accord,"“Okay, let’s start with the basics.”"
perfect,adjective,perfect,1477,parfait,The cake was a perfect shade of pink.
lie,verb,"lie, lay, lied, lies, lying",1474,mentir,He lied about his whereabouts to avoid getting in trouble.
free,adjective,"free, freer, freest",1473,libre,"The dancer moved with a beautiful, free grace."
young,adjective,"young, younger, youngest",1471,jeune,The young artist displayed a remarkable talent for painting landscapes.
weird,adjective,"weird, weirder, weirdest",1465,étrange,"The old house had a weird, unsettling atmosphere."
whatever,function word,whatever,1452,quoi,"Whatever you want, I’ll support you."
brother,noun,"brother, brothers",1441,frère,My brother helped me fix my bicycle.
work,noun,"work, works",1441,travail,The demanding project required a significant amount of work.
kid,verb,"kid, kids, kidding, kidded",1432,"faire, gamin",The mischievous kid teased his younger brother relentlessly.
ago,adverb,ago,1431,déjà,"I saw him yesterday, but it feels like ages ago."
end,verb,"end, ended, ending, ends",1427,terminer,The exhausted runner finally ended the grueling marathon.
other,noun,"other, others",1426,autre,The other children were playing in the park.
ball,noun,"ball, balls",1413,balle,He tossed the ball high in the air.
finally,adverb,finally,1413,finalement,"Finally, after weeks of searching, they found the missing document."
line,noun,"line, lines",1406,ligne,The artist carefully drew a delicate line in the sand.
