word,type,inflections,freq
break,verb,"break, breaking, breaks, broke, broken",2921
world,noun,"world, worlds",2910
which,function word,which,2903
must,verb,must,2891
party,noun,"party, parties",2855
buy,verb,"buy, bought, buying, buys",2827
through,function word,through,2810
together,adverb,together,2796
room,noun,"room, rooms",2789
family,noun,"family, families",2785
stay,verb,"stay, stayed, staying, stays",2781
lose,verb,"lose, loses, losing, lost",2710
stuff,noun,stuff,2710
son,noun,"son, sons",2692
stupid,adjective,"stupid, stupider, stupidest",2687
name,noun,"name, names",2683
everybody,function word,everybody,2644
last,verb,"last, lasted, lasting, lasts",2639
long,adverb,"long, longer, longest",2639
tonight,adverb,tonight,2608
child,noun,"child, children",2602
sit,verb,"sit, sat, sits, sitting",2600
course,noun,"course, courses",2585
pretty,adjective,"pretty, prettier, prettiest",2577
hold,verb,"hold, held, holding, holds",2574
game,noun,"game, games",2534
forget,verb,"forget, forgets, forgetting, forgot, forgotten",2519
else,adverb,else,2504
own,adjective,own,2501
five,numerals,"five, fives",2493
second,numerals,second,2491
doctor,noun,"doctor, doctors",2486
dollar,noun,"dollar, dollars",2485
enough,function word,enough,2484
dog,noun,"dog, dogs",2442
funny,adjective,"funny, funnier, funniest",2438
wear,verb,"wear, wearing, wears, wore, worn",2436
die,verb,"die, died, dies, dying",2426
sir,noun,"sir, sirs",2425
hard,adjective,"hard, harder, hardest",2422
honey,noun,honey,2414
sound,verb,"sound, sounded, sounding, sounds",2411
sex,noun,"sex, sexes",2388
hate,verb,"hate, hated, hates, hating",2369
suppose,verb,"suppose, supposed, supposes, supposing",2368
God,proper noun,God,2362
head,noun,"head, heads",2362
understand,verb,"understand, understanding, understands, understood",2360
whoa,interjection,whoa,2341
movie,noun,"movie, movies",2340
worry,verb,"worry, worried, worries, worrying",2329
cool,adjective,"cool, cooler, coolest",2323
marry,verb,"marry, married, marries, marrying",2323
miss,verb,"miss, missed, misses, missing",2318
pay,verb,"pay, paid, paying, pays",2314
hour,noun,"hour, hours",2313
crazy,adjective,"crazy, crazier, craziest",2291
change,verb,"change, changed, changes, changing",2256
hot,adjective,"hot, hotter, hottest",2256
most,function word,most,2244
excuse,verb,"excuse, excused, excuses, excusing",2232
mother,noun,"mother, mothers",2219
check,verb,"check, checked, checking, checks",2217
pick,verb,"pick, picked, picking, picks",2207
word,noun,"word, words",2207
same,adjective,"same, sameness",2200
yourself,function word,"yourself, yourselves",2188
ready,adjective,"ready, readier, readiest",2177
seem,verb,"seem, seemed, seeming, seems",2165
win,verb,"win, winning, wins, won",2162
walk,verb,"walk, walked, walking, walks",2131
father,noun,"father, fathers",2108
story,noun,"story, stories",2107
already,adverb,already,2077
hope,verb,"hope, hoped, hopes, hoping",2077
part,noun,"part, parts",2062
open,verb,"open, opened, opening, opens",2059
lady,noun,"lady, ladies",2056
read,verb,"read, reading, reads",2046
drink,verb,"drink, drank, drinking, drinks, drunk",2033
sleep,verb,"sleep, sleeping, sleeps, slept",2030
number,noun,"number, numbers",2005
write,verb,"write, writes, writing, written, wrote",2001
morning,noun,"morning, mornings",1985
tomorrow,noun,"tomorrow, tomorrows",1964
next,adjective,next,1947
phone,noun,"phone, phones, telephone, telephones",1945
four,numerals,"four, fours",1943
last,numerals,last,1942
once,adverb,once,1937
somebody,function word,somebody,1936
probably,adverb,probably,1916
without,function word,without,1910
many,function word,many,1904
such,function word,such,1901
eye,noun,"eye, eyes",1896
drive,verb,"drive, driven, drives, driving, drove",1890
wife,noun,"wife, wives",1885
book,noun,"book, books",1879
hang,verb,"hang, hanged, hanging, hangs, hung",1860
since,function word,since,1859
throw,verb,"throw, threw, throwing, thrown, throws",1839
name,verb,"name, named, naming, names",1833
dead,adjective,dead,1821
stand,verb,"stand, standing, stands, stood",1815
myself,function word,myself,1799
aw,interjection,aw,1794
dinner,noun,"dinner, dinners",1787
anyone,function word,anyone,1772
hand,noun,"hand, hands",1767
each,function word,each,1739
anyway,adverb,anyway,1723
television,noun,"television, televisions",1716
learn,verb,"learn, learned, learning, learns",1715
shut,verb,"shut, shuts, shutting",1709
town,noun,"town, towns",1709
beautiful,adjective,beautiful,1707
both,function word,both,1687
date,noun,"date, dates",1682
spend,verb,"spend, spending, spends, spent",1680
office,noun,"office, offices",1673
hit,verb,"hit, hits, hitting",1668
yet,function word,yet,1658
save,verb,"save, saved, saves, saving",1656
true,adjective,"true, truer, truest",1653
sweet,adjective,"sweet, sweeter, sweetest",1649
until,function word,until,1642
food,noun,"food, foods",1628
while,function word,while,1620
send,verb,"send, sending, sends, sent",1617
high,adjective,"high, higher, highest",1602
anymore,adverb,anymore,1596
also,adverb,also,1590
news,noun,news,1572
Christmas,proper noun,Christmas,1561
ten,numerals,ten,1560
ass,noun,"ass, asses",1548
business,noun,"business, businesses",1542
only,adjective,only,1539
couple,noun,"couple, couples",1534
totally,adverb,totally,1532
door,noun,"door, doors",1528
gay,adjective,"gay, gayer, gayest",1525
exactly,adverb,exactly,1523
parent,noun,"parent, parents",1521
few,function word,"few, fewer, fewest",1516
month,noun,"month, months",1514
easy,adjective,"easy, easier, easiest",1508
deal,noun,"deal, deals",1503
ow,interjection,"ow, ouch, yow",1503
hurt,verb,"hurt, hurting, hurts",1495
nobody,function word,nobody,1495
OK,adverb,OK,1480
perfect,adjective,perfect,1477
lie,verb,"lie, lay, lied, lies, lying",1474
free,adjective,"free, freer, freest",1473
young,adjective,"young, younger, youngest",1471
weird,adjective,"weird, weirder, weirdest",1465
whatever,function word,whatever,1452
brother,noun,"brother, brothers",1441
work,noun,"work, works",1441
kid,verb,"kid, kids, kidding, kidded",1432
ago,adverb,ago,1431
end,verb,"end, ended, ending, ends",1427
other,noun,"other, others",1426
ball,noun,"ball, balls",1413
finally,adverb,finally,1413
line,noun,"line, lines",1406
its,function word,its,1403
ha,interjection,"ha, hah",1401
important,adjective,important,1401
fall,verb,"fall, fallen, falling, falls, fell",1400
heart,noun,"heart, hearts",1396
long,adjective,"long, longer, longest",1395
fat,adjective,"fat, fatter, fattest",1393
class,noun,"class, classes",1388
shoot,verb,"shoot, shooting, shoots, shot",1377
picture,noun,"picture, pictures",1370
sell,verb,"sell, sells, selling, sold",1369
side,noun,"side, sides",1366
wish,verb,"wish, wished, wishes, wishing",1365
love,noun,"love, loves",1364
mind,noun,"mind, minds",1360
hair,noun,"hair, hairs",1359
cut,verb,"cut, cuts, cutting",1347
wedding,noun,"wedding, weddings",1342
reason,noun,"reason, reasons",1339
become,verb,"become, became, becomes, becoming",1335
least,function word,least,1335
look,noun,"look, looked, looking, looks",1332
bite,verb,"bite, bites, biting, bit, bitten",1331
fuck,verb,"fuck, fucked, fucking, fucks",1318
under,function word,under,1311
bed,noun,"bed, beds",1309
paper,noun,"paper, papers",1308
different,adjective,different,1307
catch,verb,"catch, catches, catching, caught",1290
mine,function word,mine,1289
six,numerals,six,1289
set,verb,"set, sets, setting",1280
face,noun,"face, faces",1274
speak,verb,"speak, speaks, speaking, spoke, spoken",1268
suck,verb,"suck, sucks, sucking, sucked",1260
sometimes,adverb,sometimes,1258
city,noun,"city, cities",1243
special,adjective,special,1234
stick,verb,"stick, sticks, sticking, stuck",1225
question,noun,"question, questions",1223
dude,noun,"dude, dudes",1215
realize,verb,"realize, realized, realizes, realizing",1212
birthday,noun,"birthday, birthdays",1209
point,noun,"point, points",1207
enjoy,verb,"enjoy, enjoyed, enjoying, enjoys",1206
fact,noun,"fact, facts",1201
dance,verb,"dance, danced, dances, dancing",1195
soon,adverb,soon,1191
bar,noun,"bar, bars",1185
wonder,verb,"wonder, wondered, wondering, wonders",1182
joke,noun,"joke, jokes",1179
relationship,noun,"relationship, relationships",1179
chance,noun,"chance, chances",1175
black,adjective,"black, blacker, blackest",1170
almost,adverb,almost,1168
fight,verb,"fight, fights, fighting, fought",1156
card,noun,"card, cards",1154
song,noun,"song, songs",1154
little,function word,little,1148
bye,interjection,"bye, bye",1147
coffee,noun,"coffee, coffees",1147
awesome,adjective,awesome,1133
sick,adjective,"sick, sicker, sickest",1133
apartment,noun,"apartment, apartments",1132
sorry,interjection,sorry,1127
back,noun,"back, backs",1126
figure,verb,"figure, figured, figures, figuring",1121
pull,verb,"pull, pulled, pulling, pulls",1118
box,noun,"box, boxes",1111
dream,noun,"dream, dreams",1110
water,noun,"water, waters",1110
decide,verb,"decide, decided, decides, deciding",1109
store,noun,"store, stores",1107
bet,verb,"bet, bets, betting",1106
lunch,noun,"lunch, lunches",1105
face,verb,"face, faces, facing, faced",1103
anybody,function word,anybody,1101
afraid,adjective,afraid,1096
buddy,noun,"buddy, buddies",1096
cute,adjective,"cute, cuter, cutest",1090
close,adjective,"close, closer, closest",1085
bathroom,noun,"bathroom, bathrooms",1082
show,noun,"show, shows",1081
mind,verb,"mind, minded, minding, minds",1076
steal,verb,"steal, steals, stealing, stole, stolen",1073
full,adjective,"full, fuller, fullest",1070
company,noun,"company, companies",1061
front,noun,"front, fronts",1061
ahead,adverb,ahead,1059
moment,noun,"moment, moments",1058
case,noun,"case, cases",1056
date,verb,"date, dated, dates, dating",1050
though,function word,"though, tho",1050
body,noun,"body, bodies",1043
Mrs,noun,"Mrs., Mmes.",1040
pants,noun,pants,1040
bitch,noun,"bitch, bitches",1039
promise,verb,"promise, promises, promising, promised",1039
glad,adjective,"glad, gladder, gladdest",1037
kiss,verb,"kiss, kissed, kisses, kissing",1036
either,function word,either,1023
fire,verb,"fire, fires, firing, fired",1021
grow,verb,"grow, grows, growing, grew, grown",1021
build,verb,"build, builds, building, built",1019
table,noun,"table, tables",1010
ticket,noun,"ticket, tickets",1006
matter,verb,"matter, matters, mattering, mattered",1005
teach,verb,"teach, teaches, teaching, taught",1002
cat,noun,"cat, cats",997
sister,noun,"sister, sisters",997
girlfriend,noun,"girlfriend, girlfriends",993
hat,noun,"hat, hats",991
touch,verb,"touch, touches, touching, touched",991
terrible,adjective,terrible,990
beer,noun,"beer, beers",985
damn,interjection,damn,984
mm-hmm,interjection,mm-hmm,983
club,noun,"club, clubs",979
amaze,verb,"amaze, amazes, amazing, amazed",978
smell,verb,"smell, smells, smelling, smelled, smelt",978
gift,noun,"gift, gifts",974
serious,adjective,serious,974
plan,verb,"plan, plans, planning, planned",970
street,noun,"street, streets",970
team,noun,"team, teams",969
order,verb,"order, orders, ordering, ordered",966
cry,verb,"cry, cries, crying, cried",964
zero,numerals,zero,960
drop,verb,"drop, drops, dropping, dropped",959
act,verb,"act, acts, acting, acted",958
alone,adjective,alone,957
seat,noun,"seat, seats",951
eh,interjection,eh,949
between,function word,between,947
eight,numerals,eight,947
twenty,numerals,twenty,942
foot,noun,"foot, feet",939
seven,numerals,seven,939
finish,verb,"finish, finishes, finishing, finished",937
gentleman,noun,"gentleman, gentlemen",936
hand,verb,"hand, hands, handing, handed",935
point,verb,"point, points, pointing, pointed",934
blow,verb,"blow, blows, blowing, blew, blown",933
small,adjective,"small, smaller, smallest",928
trouble,noun,"trouble, troubles",928
sweetie,noun,"sweetie, sweeties",922
sing,verb,"sing, sings, singing, sang, sung",917
pass,verb,"pass, passes, passing, passed",915
beat,verb,"beat, beats, beating, beaten",914
piece,noun,"piece, pieces",913
shoe,noun,"shoe, shoes",913
welcome,adjective,welcome,911
god,noun,"god, gods",908
white,adjective,"white, whiter, whitest",901
kick,verb,"kick, kicks, kicking, kicked",900
bag,noun,"bag, bags",899
fire,noun,"fire, fires",895
early,adjective,"early, earlier, earliest",892
excite,verb,"excite, excites, exciting, excited",892
wonderful,adjective,wonderful,890
seriously,adverb,seriously,885
country,noun,"country, countries",883
mouth,noun,"mouth, mouths",883
question,verb,"question, questions, questioning, questioned",883
dear,adjective,"dear, dearer, dearest",879
quite,adverb,quite,879
smart,adjective,"smart, smarter, smartest",876
husband,noun,"husband, husbands",875
shh,interjection,"shh, sh, shhh",874
invite,verb,"invite, invites, inviting, invited",873
rest,noun,"rest, rests",871
yours,function word,yours,871
behind,function word,behind,866
key,noun,"key, keys",865
end,noun,"end, ends",864
dress,verb,"dress, dresses, dressing, dressed",860
red,adjective,"red, redder, reddest",859
laugh,verb,"laugh, laughs, laughing, laughed",858
help,noun,help,854
agree,verb,"agree, agrees, agreeing, agreed",853
machine,noun,"machine, machines",853
yep,adverb,yep,850
return,verb,"return, returns, returning, returned",847
space,noun,"space, spaces",844
mad,adjective,"mad, madder, maddest",841
truth,noun,"truth, truths",837
ice,noun,"ice, ices",834
follow,verb,"follow, follows, following, followed",833
outside,function word,outside,828
idiot,noun,"idiot, idiots",827
rule,noun,"rule, rules",826
absolutely,adverb,absolutely,825
next,adverb,next,824
against,function word,against,821
American,proper noun,"American, Americans",821
need,noun,"need, needs",820
scare,verb,"scare, scares, scaring, scared",819
notice,verb,"notice, notices, noticing, noticed",812
chicken,noun,"chicken, chickens",811
ride,verb,"ride, rides, riding, rode, ridden",811
music,noun,music,809
join,verb,"join, joins, joining, joined",808
next,function word,next,808
good-bye,interjection,"good-bye, goodbye",806
ruin,verb,"ruin, ruins, ruining, ruined",806
war,noun,"war, wars",801
screw,verb,"screw, screws, screwing, screwed",800
light,noun,"light, lights",797
along,function word,along,790
poor,adjective,"poor, poorer, poorest",790
sense,noun,"sense, senses",789
able,adjective,"able, abler, ablest",788
matter,noun,"matter, matters",783
secret,noun,"secret, secrets",783
fly,verb,"fly, flies, flying, flew, flown",780
top,noun,"top, tops",780
sure,adverb,sure,779
fair,adjective,"fair, fairer, fairest",777
relax,verb,"relax, relaxes, relaxing, relaxed",776
boyfriend,noun,"boyfriend, boyfriends",774
plan,noun,"plan, plans",773
mistake,noun,"mistake, mistakes",771
luck,noun,luck,769
group,noun,"group, groups",766
daughter,noun,"daughter, daughterly, daughters",759
college,noun,"college, colleges",757
president,noun,"president, presidents",757
far,adverb,"far, farther, further, farthest, furthest",754
sign,verb,"sign, signs, signing, signed",754
close,verb,"close, closes, closing, closed",753
message,noun,"message, messages",748
freak,verb,"freak, freaks, freaking, freaked",747
fault,noun,"fault, faulted, faulting, faultless, faultlessly, faultlessness, faults",745
quick,adjective,"quick, quicker, quickest",744
till,function word,till,742
except,function word,except,738
single,adjective,single,734
shirt,noun,"shirt, shirts",733
choice,noun,"choice, choices",732
attention,noun,attention,730
power,noun,"power, powers",730
quit,verb,"quit, quits, quitting, quitted",729
answer,noun,"answer, answers",727
trust,verb,"trust, trusts, trusting, trusted",727
fifty,numerals,"fifty, fifties",725
leg,noun,"leg, legs",725
wake,verb,"wake, wakes, waking, waked, woke, woken",723
human,adjective,human,717
star,noun,"star, stars",715
student,noun,"student, students",713
air,noun,"air, airs",703
chair,noun,"chair, chairs",700
gun,noun,"gun, guns",699
begin,verb,"begin, begins, beginning, began, begun",692
death,noun,"death, deaths",692
tree,noun,"tree, trees",692
boss,noun,"boss, bosses",689
while,noun,"while, whiles",688
present,noun,"present, presents",687
instead,adverb,instead,686
lucky,adjective,"lucky, luckier, luckiest",682
safe,adjective,"safe, safer, safest",681
cold,adjective,"cold, colder, coldest",678
ahh,interjection,ahh,677
explain,verb,"explain, explains, explaining, explained",676
video,noun,"video, videos",676
brain,noun,"brain, brains",675
completely,adverb,completely,673
voice,noun,"voice, voices",673
cake,noun,"cake, cakes",672
drink,noun,"drink, drinks",672
trip,noun,"trip, trips",671
monkey,noun,"monkey, monkeys",670
hundred,numerals,"hundred, hundreds",669
fix,verb,"fix, fixes, fixing, fixed",668
entire,adjective,entire,667
expect,verb,"expect, expected, expecting, expects",667
million,numerals,"million, millions",667
allow,verb,"allow, allows, allowing, allowed",666
forever,adverb,forever,666
ugh,interjection,ugh,664
hide,verb,"hide, hides, hiding, hid, hidden",662
huge,adjective,"huge, huger, hugest",662
interesting,adjective,interesting,662
fight,noun,"fight, fights",661
roll,verb,"roll, rolls, rolling, rolled",661
clothes,noun,clothes,658
fast,adverb,"fast, faster, fastest",657
grab,verb,"grab, grabs, grabbing, grabbed",657
teacher,noun,"teacher, teachers",657
crap,noun,"crap, craps",656
animal,noun,"animal, animals",655
burn,verb,"burn, burns, burning, burned, burnt",654
tough,adjective,"tough, tougher, toughest",654
restaurant,noun,"restaurant, restaurants",652
sort,noun,"sort, sorts",652
tooth,noun,"tooth, teeth",651
marriage,noun,"marriage, marriages",649
proud,adjective,"proud, prouder, proudest",649
uncle,noun,"uncle, uncles",647
push,verb,"push, pushes, pushing, pushed",646
butt,noun,"butt, butts",643
offer,verb,"offer, offers, offering, offered",643
lord,noun,"lord, lords",640
unless,function word,unless,639
feeling,noun,"feeling, feelings",638
suit,noun,"suit, suits",636
uh-huh,interjection,uh-huh,635
floor,noun,"floor, floors",634
cream,noun,"cream, creams",629
favorite,adjective,favorite,629
naked,adjective,naked,628
list,noun,"list, lists",627
ring,noun,"ring, rings",625
clean,verb,"clean, cleans, cleaning, cleaned",621
apologize,verb,"apologize, apologizing, apologizes, apologized",620
clear,adjective,"clear, clearer, clearest",620
Earth,proper noun,"Earth, earth",620
share,verb,"share, shares, sharing, shared",620
fill,verb,"fill, fills, filling, filled",619
cool,interjection,cool,617
pizza,noun,"pizza, pizzas",612
ridiculous,adjective,ridiculous,612
alive,adjective,alive,609
pretend,verb,"pretend, pretends, pretending, pretended",608
hospital,noun,"hospital, hospitals",604
sad,adjective,"sad, sadder, saddest",603
bunch,noun,"bunch, bunches",602
half,function word,half,602
police,noun,police,602
fish,noun,"fish, fishes",600
window,noun,"window, windows",599
busy,adjective,"busy, busier, busiest",597
sign,noun,"sign, signs",597
call,noun,"call, calls",595
pie,noun,"pie, pies",594
answer,verb,"answer, answers, answering, answered",592
raise,verb,"raise, raises, raising, raised",592
somewhere,adverb,somewhere,592
sandwich,noun,"sandwich, sandwiches",590
thirty,numerals,"thirty, thirties",590
sale,noun,"sale, sales",589
choose,verb,"choose, chooses, choosing, chose, chosen",588
definitely,adverb,definitely,588
swear,verb,"swear, swears, swearing, swore, sworn",588
pretty,adverb,pretty,585
boat,noun,"boat, boats",583
tired,adjective,tired,582
ho,interjection,ho,581
upset,adjective,upset,578
less,function word,less,577
nine,numerals,"nine, nines",576
thousand,numerals,"thousand, thousands",576
smoke,verb,"smoke, smokes, smoking, smoked",574
embarrass,verb,"embarrass, embarrasses, embarrassing, embarrassed",573
band,noun,"band, bands",572
bear,verb,"bear, bears, bearing, bore, borne, born",572
none,function word,none,571
Santa,proper noun,Santa,571
strong,adjective,"strong, stronger, strongest",571
law,noun,"law, laws",570
toilet,noun,"toilet, toilets",570
jump,verb,"jump, jumps, jumping, jumped",569
count,verb,"count, counts, counting, counted",567
egg,noun,"egg, eggs",566
Saturday,proper noun,"Saturday, Saturdays",565
blue,adjective,"blue, bluer, bluest",564
horrible,adjective,horrible,564
shit,noun,"shit, shits",564
favor,noun,"favor, favors",563
handle,verb,"handle, handles, handling, handled",563
wall,noun,"wall, walls",563
art,noun,"art, arts",562
cover,verb,"cover, covers, covering, covered",562
arm,noun,"arm, arms",561
perhaps,adverb,perhaps,560
simple,adjective,"simple, simpler, simplest",560
bus,noun,"bus, buses",558
appreciate,verb,"appreciate, appreciates, appreciating, appreciated",556
himself,function word,himself,556
surprise,verb,"surprise, surprises, surprising, surprised",556
candy,noun,"candy, candies",555
finger,noun,"finger, fingers",553
worth,adjective,worth,551
state,noun,"state, states",550
possible,adjective,possible,549
rich,adjective,"rich, richer, richest",548
short,adjective,"short, shorter, shortest",548
king,noun,"king, kings",547
knock,verb,"knock, knocks, knocking, knocked",547
cookie,noun,"cookie, cookies",545
penis,noun,"penis, penises, penes",545
history,noun,"history, histories",544
imagine,verb,"imagine, imagines, imagining, imagined",544
third,numerals,"third, thirds",544
blood,noun,"blood, bloods",542
drug,noun,"drug, drugs",542
future,noun,"future, futures",541
prove,verb,"prove, proves, proving, proved, proven",540
surprise,noun,"surprise, surprises",540
alright,adverb,alright,539
captain,noun,"captain, captains",539
evening,noun,"evening, evenings",539
congratulations,interjection,congratulations,538
system,noun,"system, systems",538
record,noun,"record, records",534
age,noun,"age, ages",533
deserve,verb,"deserve, deserves, deserving, deserved",529
normal,adjective,normal,528
yesterday,noun,"yesterday, yesterdays",528
jerk,noun,"jerk, jerks",526
yay,interjection,yay,526
bird,noun,"bird, birds",525
nose,noun,"nose, noses",525
bother,verb,"bother, bothers, bothering, bothered",525
fan,noun,"fan, fans",523
letter,noun,"letter, letters",523
rather,adverb,rather,522
head,verb,"head, heads, heading, headed",520
interested,adjective,interested,519
owe,verb,"owe, owes, owing, owed",519
pregnant,adjective,pregnant,519
destroy,verb,"destroy, destroys, destroying, destroyed",516
bear,noun,"bear, bears",514
evil,adjective,"evil, eviler, eviller, evilest, evillest",513
milk,noun,"milk, milks",512
sport,noun,"sport, sports",511
admit,verb,"admit, admits, admitting, admitted",510
apparently,adverb,apparently,510
conversation,noun,"conversation, conversations",509
obviously,adverb,obviously,509
uh-oh,interjection,uh-oh,509
jacket,noun,"jacket, jackets",508
during,function word,during,507
accept,verb,"accept, accepts, accepting, accepted",504
dumb,adjective,"dumb, dumber, dumbest",502
bit,noun,"bit, bits",500
consider,verb,"consider, considers, considering, considered",500
